brand;model;body;year;mileage;fuel;seller;transmission;city;color;price
toyota;vios;sedan;2019;1,800 KM;gasoline;dealer;automatic;Quezon City;Purple / Pink;605000
toyota;wigo;hatchback;2018;6,800 KM;gasoline;dealer;automatic;Quezon City;Silver / Grey;410000
toyota;vios;sedan;2017;2,500 KM;gasoline;dealer;automatic;Manila;Green;635000
toyota;wigo;hatchback;2018;3,500 KM;gasoline;dealer;automatic;Quezon City;White;415000
toyota;vios;sedan;2017;11,800 KM;gasoline;dealer;automatic;Manila;Red;625000
toyota;avanza;mpv;2019;1,930 KM;gasoline;dealer;automatic;Makati;n/a;750000
toyota;wigo;hatchback;2018;2,000 KM;gasoline;dealer;automatic;Quezon City;Silver / Grey;405000
toyota;innova;mpv;2017;8,800 KM;diesel;dealer;automatic;Manila;Silver / Grey;1108000
toyota;wigo;hatchback;2018;3,000 KM;gasoline;dealer;automatic;Quezon City;Silver / Grey;410000
toyota;vios-2017-2018;sedan;2018;5,800 KM;gasoline;dealer;manual;Manila;Blue;585000
toyota;vios;sedan;2019;2,700 KM;gasoline;dealer;manual;Manila;Green;610000
toyota;vios-2017-2018;sedan;2018;6,800 KM;gasoline;dealer;manual;Manila;Red;480000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;manual;Manila;Silver / Grey;530000
toyota;vios;sedan;2017;8,000 KM;gasoline;dealer;manual;Manila;Orange;520000
toyota;hiace-2015-2018;van;2018;5,500 KM;diesel;dealer;manual;Manila;White;1108000
chevrolet;trailblazer;suv;2019;n/a;diesel;dealer;automatic;Quezon City;Silver / Grey;1300000
toyota;vios;sedan;2018;800 KM;gasoline;dealer;automatic;Manila;Red;635000
toyota;vios;sedan;2018;4,399 KM;gasoline;dealer;automatic;Manila;Red;625000
ford;ecosport-2013-2017;suv;2019;32 KM;gasoline;dealer;automatic;Manila;Red;808000
mazda;cx-5;crossover;2019;5,000 KM;gasoline;dealer;automatic;Manila;Blue;1498000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;automatic;Manila;Green;635000
toyota;vios;sedan;2017;18,000 KM;gasoline;dealer;automatic;Manila;Black;595000
toyota;vios;sedan;2017;13,900 KM;gasoline;dealer;automatic;Quezon City;Purple / Pink;498000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;automatic;Manila;Green;635000
toyota;wigo;hatchback;2017;25,000 KM;gasoline;dealer;automatic;Quezon City;Black;398000
toyota;vios;sedan;2019;5,845 KM;gasoline;dealer;automatic;Quezon City;Blue;645000
toyota;vios;sedan;2017;2,800 KM;gasoline;dealer;automatic;Manila;Green;635000
toyota;vios;sedan;2019;2,500 KM;gasoline;dealer;automatic;Quezon City;Blue;620000
toyota;vios;sedan;2017;1,900 KM;gasoline;dealer;automatic;Manila;Black;635000
toyota;innova;mpv;2017;7,700 KM;diesel;dealer;automatic;Manila;Red;1070000
chevrolet;colorado;pickup-trucks;2017;15,164 KM;diesel;dealer;automatic;Quezon City;Silver / Grey;1020000
toyota;land-cruiser-prado;suv;2018;5,000 KM;diesel;dealer;automatic;Quezon City;White;6380000
chevrolet;corvette;coupe;2020;500 KM;gasoline;dealer;automatic;Quezon City;White;8380000
toyota;wigo;hatchback;2018;10,689 KM;gasoline;dealer;automatic;Marikina;Black;495000
toyota;fortuner;suv;2017;28,801 KM;diesel;dealer;automatic;Pasig;White;1299000
toyota;vios;sedan;2017;13,000 KM;gasoline;dealer;automatic;Quezon City;Black;480000
toyota;vios;sedan;2018;1,500 KM;gasoline;dealer;manual;Manila;Black;605000
toyota;innova;mpv;2017;12,800 KM;diesel;dealer;manual;Manila;Black;1010000
toyota;innova;mpv;2017;1,900 KM;diesel;dealer;manual;Manila;Black;995000
mitsubishi;l300-2000-2010;mpv;2017;34,519 KM;diesel;dealer;manual;Quezon City;White;695000
